word,category,difficulty,length,is_christmas_theme,is_bonus
elf,Christmas,Easy,3,True,False
joy,Christmas,Easy,3,True,False
ice,Christmas,Easy,3,True,False
fir,Christmas,Easy,3,True,False
hat,Christmas,Easy,3,True,False
toy,Christmas,Easy,3,True,False
bow,Christmas,Easy,3,True,False
ham,Christmas,Easy,3,True,False
tea,Christmas,Easy,3,True,False
mug,Christmas,Easy,3,True,False
log,Christmas,Easy,3,True,False
owl,Christmas,Easy,3,True,False
fox,Christmas,Easy,3,True,False
deer,Christmas,Easy,4,True,False
pine,Christmas,Easy,4,True,False
snow,Christmas,Easy,4,True,False
star,Christmas,Easy,4,True,False
bell,Christmas,Easy,4,True,False
gift,Christmas,Easy,4,True,False
tree,Christmas,Easy,4,True,False
hope,Christmas,Easy,4,True,False
love,Christmas,Easy,4,True,False
holy,Christmas,Easy,4,True,False
yule,Christmas,Easy,4,True,False
noel,Christmas,Easy,4,True,False
coal,Christmas,Easy,4,True,False
card,Christmas,Easy,4,True,False
glow,Christmas,Easy,4,True,False
hymn,Christmas,Easy,4,True,False
king,Christmas,Easy,4,True,False
lamb,Christmas,Easy,4,True,False
magi,Christmas,Easy,4,True,False
angel,Christmas,Medium,5,True,False
advent,Christmas,Medium,6,True,False
bauble,Christmas,Medium,6,True,False
bells,Christmas,Medium,5,True,False
berry,Christmas,Medium,5,True,False
bless,Christmas,Medium,5,True,False
blimp,Christmas,Medium,5,True,False
boots,Christmas,Medium,5,True,False
bower,Christmas,Medium,5,True,False
cabin,Christmas,Medium,5,True,False
camel,Christmas,Medium,5,True,False
candy,Christmas,Medium,5,True,False
carol,Christmas,Medium,5,True,False
cedar,Christmas,Medium,5,True,False
cheer,Christmas,Medium,5,True,False
child,Christmas,Medium,5,True,False
choir,Christmas,Medium,5,True,False
clock,Christmas,Medium,5,True,False
cocoa,Christmas,Medium,5,True,False
cozy,Christmas,Easy,4,True,False
crane,Christmas,Medium,5,True,False
crown,Christmas,Medium,5,True,False
decor,Christmas,Medium,5,True,False
dream,Christmas,Medium,5,True,False
drink,Christmas,Medium,5,True,False
eagle,Christmas,Medium,5,True,False
earth,Christmas,Medium,5,True,False
feast,Christmas,Medium,5,True,False
flame,Christmas,Medium,5,True,False
frost,Christmas,Medium,5,True,False
glory,Christmas,Medium,5,True,False
grace,Christmas,Medium,5,True,False
green,Christmas,Medium,5,True,False
holly,Christmas,Medium,5,True,False
honor,Christmas,Medium,5,True,False
house,Christmas,Medium,5,True,False
jolly,Christmas,Medium,5,True,False
light,Christmas,Medium,5,True,False
lodge,Christmas,Medium,5,True,False
merry,Christmas,Medium,5,True,False
moose,Christmas,Medium,5,True,False
music,Christmas,Medium,5,True,False
peace,Christmas,Medium,5,True,False
polar,Christmas,Medium,5,True,False
quilt,Christmas,Medium,5,True,False
robin,Christmas,Medium,5,True,False
scarf,Christmas,Medium,5,True,False
sheep,Christmas,Medium,5,True,False
shine,Christmas,Medium,5,True,False
sleds,Christmas,Medium,5,True,False
smile,Christmas,Medium,5,True,False
socks,Christmas,Medium,5,True,False
songs,Christmas,Medium,5,True,False
spark,Christmas,Medium,5,True,False
spice,Christmas,Medium,5,True,False
sprig,Christmas,Medium,5,True,False
stars,Christmas,Medium,5,True,False
sweet,Christmas,Medium,5,True,False
toast,Christmas,Medium,5,True,False
train,Christmas,Medium,5,True,False
treat,Christmas,Medium,5,True,False
trust,Christmas,Medium,5,True,False
truth,Christmas,Medium,5,True,False
visit,Christmas,Medium,5,True,False
watch,Christmas,Medium,5,True,False
white,Christmas,Medium,5,True,False
winds,Christmas,Medium,5,True,False
wings,Christmas,Medium,5,True,False
wisemen,Christmas,Medium,7,True,False
wreath,Christmas,Medium,6,True,False
arctic,Christmas,Medium,6,True,False
beanie,Christmas,Medium,6,True,False
branch,Christmas,Medium,6,True,False
bright,Christmas,Medium,6,True,False
candle,Christmas,Medium,6,True,False
carols,Christmas,Medium,6,True,False
chapel,Christmas,Medium,6,True,False
chilly,Christmas,Medium,6,True,False
church,Christmas,Medium,6,True,False
coffee,Christmas,Medium,6,True,False
comet,Christmas,Medium,5,True,False
comfort,Christmas,Medium,7,True,False
cookie,Christmas,Medium,6,True,False
cotton,Christmas,Medium,6,True,False
dancer,Christmas,Medium,6,True,False
dinner,Christmas,Medium,6,True,False
donkey,Christmas,Medium,6,True,False
ember,Christmas,Medium,5,True,False
family,Christmas,Medium,6,True,False
father,Christmas,Medium,6,True,False
forest,Christmas,Medium,6,True,False
frozen,Christmas,Medium,6,True,False
garden,Christmas,Medium,6,True,False
garland,Christmas,Medium,7,True,False
gentle,Christmas,Medium,6,True,False
ginger,Christmas,Medium,6,True,False
giving,Christmas,Medium,6,True,False
gloves,Christmas,Medium,6,True,False
golden,Christmas,Medium,6,True,False
gospel,Christmas,Medium,6,True,False
grinch,Christmas,Medium,6,True,False
hearth,Christmas,Medium,6,True,False
heaven,Christmas,Medium,6,True,False
holiday,Christmas,Medium,7,True,False
icicle,Christmas,Medium,6,True,False
jacket,Christmas,Medium,6,True,False
joseph,Christmas,Medium,6,True,False
lantern,Christmas,Medium,7,True,False
market,Christmas,Medium,6,True,False
mitten,Christmas,Medium,6,True,False
mother,Christmas,Medium,6,True,False
nativity,Christmas,Hard,8,True,False
parka,Christmas,Medium,5,True,False
pastor,Christmas,Medium,6,True,False
penguin,Christmas,Medium,7,True,False
pillow,Christmas,Medium,6,True,False
prayer,Christmas,Medium,6,True,False
prince,Christmas,Medium,6,True,False
rabbit,Christmas,Medium,6,True,False
ribbon,Christmas,Medium,6,True,False
rudolph,Christmas,Medium,7,True,False
santa,Christmas,Medium,5,True,False
savior,Christmas,Medium,6,True,False
season,Christmas,Medium,6,True,False
shepherd,Christmas,Hard,8,True,False
sleigh,Christmas,Medium,6,True,False
spirit,Christmas,Medium,6,True,False
stable,Christmas,Medium,6,True,False
stocking,Christmas,Hard,8,True,False
wonder,Christmas,Medium,6,True,False
winter,Christmas,Medium,6,True,False
woolen,Christmas,Medium,6,True,False
worship,Christmas,Medium,7,True,False
blizzard,Christmas,Hard,8,True,False
brownie,Christmas,Medium,7,True,False
calendar,Christmas,Hard,8,True,False
candycane,Christmas,Hard,9,True,False
caroler,Christmas,Medium,7,True,False
celebrate,Christmas,Hard,9,True,False
chimney,Christmas,Medium,7,True,False
cinnamon,Christmas,Hard,8,True,False
cocoabean,Christmas,Hard,9,True,False
countdown,Christmas,Hard,9,True,False
cranberry,Christmas,Hard,9,True,False
cupcake,Christmas,Medium,7,True,False
decorate,Christmas,Hard,8,True,False
eggnog,Christmas,Medium,6,True,False
evergreen,Christmas,Hard,9,True,False
fireplace,Christmas,Hard,9,True,False
flannel,Christmas,Medium,7,True,False
gathering,Christmas,Hard,9,True,False
gingerbread,Christmas,Expert,11,True,False
gratitude,Christmas,Hard,9,True,False
harmony,Christmas,Medium,7,True,False
holidays,Christmas,Hard,8,True,False
igloo,Christmas,Medium,5,True,False
kindness,Christmas,Hard,8,True,False
marshmallow,Christmas,Expert,11,True,False
mistletoe,Christmas,Hard,9,True,False
mountain,Christmas,Hard,8,True,False
nutcracker,Christmas,Hard,10,True,False
ornament,Christmas,Hard,8,True,False
pancake,Christmas,Medium,7,True,False
pinecone,Christmas,Hard,8,True,False
poinsettia,Christmas,Hard,10,True,False
presents,Christmas,Hard,8,True,False
reindeer,Christmas,Hard,8,True,False
resolution,Christmas,Hard,10,True,False
snowball,Christmas,Hard,8,True,False
snowflake,Christmas,Hard,9,True,False
snowman,Christmas,Medium,7,True,False
snowfall,Christmas,Hard,8,True,False
snowshoe,Christmas,Hard,8,True,False
snowstorm,Christmas,Hard,9,True,False
sweater,Christmas,Medium,7,True,False
toboggan,Christmas,Hard,8,True,False
tradition,Christmas,Hard,9,True,False
treasure,Christmas,Hard,8,True,False
wrapping,Christmas,Hard,8,True,False
yuletide,Christmas,Hard,8,True,False
